"src_id","station_name","historic_county","station_latitude","station_longitude","station_elevation","years_of_hourly","R","R_1995","R_1996","R_1997","R_1998","R_1999","R_2000","R_2001","R_2002","R_2003","R_2004","R_2005","R_2006","R_2007","R_2008","R_2009","R_2010","R_2011","R_2012","R_2013","R_2014","R_2015","R_2016","R_2017","R_2018","R_2019"
235,"LEUCHARS","fife",56.377,-2.862,10,25,391.713565540453,"316.27343","214.78721","255.39570","306.06535","264.15027","370.96862","330.61281","969.56649","164.84750","765.73471","302.23814","323.71101","375.52636","432.63748","490.25828","445.46652","564.62222","508.36429","265.10797","405.31030","362.32650","288.81062","269.77326","356.54534","443.73876"
346,"LINTON ON OUSE","north-yorkshire",54.045,-1.251,14,25,381.352830839815,"317.821045","387.871723","225.476297","228.250762","282.469841","593.375200","297.855964","357.583195","207.483103","344.538278","407.660413","493.740550","367.783362","397.662316","703.661141","212.591245","218.856206","616.059924","335.441749","194.929862","669.626976","673.191631","405.949756","289.820774","304.119460"
692,"LITTLE RISSINGTON","gloucestershire",51.861,-1.693,210,21,468.14098585331,NA,NA,NA," 344.34863"," 372.78060"," 467.99912"," 383.55095"," 669.67609"," 303.53969"," 337.84915",NA," 494.60071","1058.02202"," 697.40228"," 465.78943"," 342.18408"," 239.74658"," 686.17005"," 389.60395"," 470.76486"," 306.89513"," 440.74336"," 272.46551"," 371.83304"," 714.99549"
67,"LOCH GLASCARNOCH","ross-and-cromarty",57.725,-4.895,269,21,983.102058798861,NA," 461.66546","1204.16940"," 842.76423","1224.04136","1305.16993"," 870.23209"," 844.39148",NA,"1061.51733","1135.58642","1053.06552"," 841.36414","1234.17491"," 705.06846",NA,"1550.08761"," 739.30756"," 893.43599"," 957.05982","1094.29211","1071.16292",NA," 655.47823"," 901.10827"
17344,"LOFTUS","cleveland",54.563,-0.864,158,23,403.619103230686,NA,NA,"477.151795","271.865610","229.331520","391.227992","360.351945","703.019532","327.410576","507.695831","513.362387","364.818253","368.464466","382.625027","509.820109","270.629014","357.685772","544.299542","503.985056","389.090055","368.031532","335.764652","338.910271","541.634256","226.064184"
137,"LOSSIEMOUTH","moray-in-grampian-region",57.711,-3.323,7,25,306.384058234666,"458.328451","197.391038","350.969577","235.387937","405.960665","206.329905","413.837021","246.119373","179.484160","455.875214","288.937951","328.289902","278.765612","200.283864","516.703749","273.188518","331.813849","131.805888","197.773447","832.065782","155.988178","276.517131","197.308283","116.566891","383.909069"
886,"LYNEHAM","wiltshire",51.503,-1.992,145,24,452.353535596023,"330.15843","200.49110","221.68794","341.29207","466.68275","392.44402","286.60166","738.51871","324.21255","574.31912","396.30541","663.68175","727.38329","484.94861","349.86003","311.43757","398.55333","878.85571","588.28688","539.67016",NA,"419.14620","371.82095","289.12418","561.00242"
908,"MACHRIHANISH","argyll-in-strathclyde-region",55.441,-5.697,10,22,692.674938191185,"974.85040","732.57424",NA,"883.03219",NA,"675.42630","515.16798","699.01158","457.96261","796.79097","397.33400","637.11252","531.84589","770.57540","814.70209","649.03757","809.80044","864.60620",NA,"770.46724","696.16950","543.18656","592.52891","507.90447","918.76157"
775,"MANSTON","kent",51.347,1.335,49,21,420.659485671599," 229.78851"," 399.91749"," 264.18955"," 346.25797"," 365.44045"," 501.62860"," 624.39766"," 329.63233"," 257.45849"," 296.46065"," 371.50838"," 328.26519",NA,"1038.39806",NA," 701.15664"," 229.14825",NA,NA," 408.49228"," 468.29055"," 596.86716"," 369.19800"," 345.53019"," 361.82280"
409,"MARHAM","norfolk",52.651,0.566,21,25,414.102672412212,"191.656398","309.783348","218.449334","490.156088","408.905376","343.160125","443.019203","923.637435","526.313918","426.607455","439.293860","470.603712","423.124596","451.068401","299.009465","404.308855","208.068564","561.736495","161.092021","765.343347","392.432865","537.348075","379.975368","297.674287","279.798220"
847,"MIDDLE WALLOP","hampshire",51.15,-1.57,90,25,525.484948753109," 500.69293"," 306.13866"," 319.69902"," 498.45273"," 911.48389"," 761.62895"," 516.25901"," 672.65282"," 322.85882"," 488.31160"," 264.85700"," 571.60484"," 516.46619"," 436.94223"," 461.77081"," 293.88097"," 474.12256"," 671.77675"," 476.77302"," 732.02676"," 374.82491"," 451.55920","1039.94233"," 494.69043"," 577.70730"
1215,"MILFORD HAVEN CONSERVANCY BOARD","dyfed",51.709,-5.053,44,23,790.974450111686,NA," 502.08569"," 725.17694"," 534.29927",NA," 697.32529"," 585.38952","1988.66998"," 835.58487"," 814.43126","1603.27446"," 875.90156"," 916.95206","1013.43175"," 635.64349"," 492.74899"," 687.86951"," 566.45378"," 528.26538"," 751.99821"," 671.89376"," 535.03403"," 611.04655"," 924.61178"," 694.32424"
456,"MONKS WOOD","cambridgeshire",52.402,-0.237,41,16,430.441152758432,NA,NA,NA,NA,NA,NA,"418.972474","532.687743","262.069660",NA,"245.124181","706.402125","384.520040","498.667634","420.544444","313.795809","153.935820","335.165698","381.489653","698.338073","324.327698","864.857138",NA,NA,"346.160255"
1255,"MUMBLES HEAD","west-glamorgan",51.566,-3.982,43,20,686.038427435649,NA,NA,NA,NA,NA,"663.84746","737.44105","998.81377","466.86028","671.68646","657.78313","582.16458","585.68115","711.33787","784.01049","880.99852","336.32109","827.49698","878.70458","559.98829","559.90240","721.91160","447.90516","717.82439","930.08927"
1352,"NORTH WYKE","devon",50.769,-3.904,177,18,507.510551828253,NA,NA,NA,NA,NA,NA,"321.13693","652.83529","235.86783","653.58025","449.28935","608.15091","710.11600","515.90058","600.21016","329.97751","360.62375","719.87118",NA,"681.69775","444.26555","351.61816","400.82916","657.82594","441.39361"
709,"NORTHOLT","greater-london",51.549,-0.417,33,24,436.172392114881,NA," 194.74997"," 219.20409"," 404.79765"," 852.10828"," 599.34316","1092.95758"," 383.86609"," 191.64473"," 209.35056"," 244.92363"," 365.68518"," 439.93485"," 400.39838"," 566.00849"," 213.27726"," 327.32157"," 381.19627"," 371.07060"," 923.18327"," 528.37392"," 537.93937"," 326.74783"," 371.33995"," 322.71472"
556,"NOTTINGHAM, WATNALL","nottinghamshire",53.006,-1.251,117,25,476.96290247403,"255.81856","177.58482","556.80181","334.18621","296.58901","873.53109","354.44803","680.15806","345.61477","462.31814","383.43981","554.25744","586.44309","455.23085","397.46286","343.86700","160.13974","523.46281","994.46848","674.21351","496.29317","499.37158","336.24992","414.08713","768.03467"
862,"ODIHAM","hampshire",51.239,-0.945,118,25,519.999042518825," 428.51572"," 462.66641"," 368.41678"," 356.91269","1051.02025"," 544.41185"," 624.13501"," 613.54648"," 334.88621"," 470.02606"," 304.41459"," 698.93071"," 773.14627"," 618.99742"," 667.78022"," 381.12462"," 382.02676"," 492.44136"," 428.81994"," 769.48986"," 380.45957"," 641.71852"," 369.12046"," 384.43821"," 452.53009"
1226,"PEMBREY SANDS","dyfed",51.714,-4.367,3,24,770.62468486832,NA," 428.09106"," 836.06425"," 661.56132","1056.80275"," 803.16642","1032.86156","1267.69333"," 696.14515"," 997.39467"," 448.37499"," 485.18235","1076.23627"," 709.66593"," 753.14494"," 685.11405"," 595.87796"," 663.03303"," 821.30736"," 790.84703"," 643.00513"," 839.17817"," 545.59907"," 985.61864"," 673.02700"
657,"PERSHORE","hereford-and-worcester",52.148,-2.041,35,23,439.959556148362,NA,"233.162221","491.230041","525.193970","570.383653",NA,"368.041597","184.423226","318.808925","908.505343","405.560876","366.773235","933.067464","352.711076","408.863523","373.179993","137.256764","414.516825","805.507755","554.041462","350.507604","442.655899","199.298343","245.170428","530.209569"
1336,"PLYMOUTH, MOUNTBATTEN","devon",50.355,-4.121,50,21,688.72260562886,NA,NA," 627.84357"," 683.75569",NA," 682.04372"," 570.52394",NA," 479.23463"," 608.33252"," 641.03156"," 494.83588"," 725.89916"," 723.04252"," 732.95345"," 559.39872"," 415.60622","1305.47913"," 630.77354"," 767.06139"," 701.39751"," 743.42285"," 768.71609"," 729.02823"," 872.79439"
1007,"PRESTWICK, GANNET","ayrshire",55.515,-4.585,27,23,488.376138953692,NA,NA,"360.56300","527.30685","479.11623","518.51274","362.69749","432.89018","364.38358","458.95503","344.74299","945.94787","408.41085","601.35324","517.10960","353.52588","559.83787","492.67393","444.71651","549.64750","589.93559","527.21906","427.28562","361.52145","604.29816"
16589,"REDESDALE CAMP","northumberland",55.285,-2.279,211,22,527.645744500482,NA,NA,"240.78745","213.49104","290.41821","709.93313",NA,"775.33367","222.47000","459.80970","436.93981","306.72705","476.77459","727.38857","549.84047","608.45343","805.12285","937.96696","602.41859","562.40345","608.22525","500.52096","396.84275","371.21483","805.12363"
1137,"RHYL NO 2","clwyd",53.259,-3.509,77,23,453.530020584432,"438.14315","153.37419","382.09090","321.46339","839.08439","656.31933",NA,"428.98328","258.68935","589.00511","370.82626","268.69363","572.19377","476.54367","399.92841","609.25705","234.26768","593.23909",NA,"345.14530","375.63140","545.40473","685.78836","317.10056","570.01748"
471,"ROTHAMSTED","hertfordshire",51.807,-0.36,128,20,462.485992678913,NA,NA,NA,NA,NA," 717.64043"," 602.45217"," 434.08701"," 204.33544"," 442.64055"," 360.03170"," 698.50110"," 534.35226"," 710.17677"," 500.46337"," 217.43748"," 200.72709"," 541.90234"," 303.29355"," 447.22554","1131.50574"," 443.93826"," 226.42429"," 293.26480"," 239.31998"
982,"SALSBURGH","lanarkshire",55.861,-3.875,277,18,594.881842784346,NA,NA,NA,NA,NA,"1041.94998"," 414.03056"," 643.45470"," 384.71357"," 646.51753"," 350.04908"," 436.71453"," 518.17813"," 877.86146"," 622.23641",NA," 721.30328"," 830.23733"," 602.91337"," 496.35022"," 733.17835"," 430.65088"," 366.12351",NA," 591.41028"
1386,"SCILLY: ST MARYS AIRPORT","isles-of-scilly",49.915,-6.296,31,20,513.151715382785,NA,"422.77272","625.03221","315.72784","496.64711","857.88587","435.13645","611.10314","239.94590","307.56469","380.98563",NA,"813.25923",NA,NA,"657.20567","282.05478","807.54633",NA,"357.38420","455.97734","589.42156","558.71405","461.58548","587.08413"
16611,"SENNYBRIDGE NO 2","powys-south",52.063,-3.615,307,21,949.438519683255,NA," 474.18281","1061.88266",NA,NA,"1218.19883"," 980.06919",NA," 718.74270","1569.81553"," 731.18974"," 830.79746","1050.35968","1092.03293"," 970.56955"," 793.98021"," 530.35737","1075.01998","1112.19982"," 735.49403"," 846.14411"," 987.82478"," 707.17984","1209.23391","1242.93381"
1083,"SHAP","cumbria",54.502,-2.685,252,20,1874.37427355269,NA,NA,"2009.90544","1451.16842","1624.19659","1745.83142",NA,NA,"1026.12201",NA,"2269.19502","1838.23187","2175.70920","2251.61085","3008.29095"," 902.53882","2200.48506","1825.24032","1868.68993","1637.73787","3280.01588","1450.60884","1339.80375","1437.84173","2144.26150"
643,"SHAWBURY","shropshire",52.795,-2.665,72,25,359.268590124677,"311.49625","192.58561","413.02046","291.57073","442.50701","492.52923","400.23245","224.63706","270.92476","502.20202","420.58636","214.77329","418.86604","623.06300","258.33288","269.85177","186.06098","494.32145","353.31216","292.02775","239.96257","463.13826","309.89292","374.76982","521.04989"
669,"SHOBDON AIRFIELD","hereford-and-worcester",52.243,-2.886,99,25,422.590916438533,"214.36055","202.07980","377.36676","621.76415","647.49663","489.70724","731.32988","314.52887","185.27291","651.52703","299.27739","290.09136","789.75508","552.23901","399.78662","342.59637","174.10085","659.92764","242.20452","378.74449","387.95477","416.47225","307.86567","307.38767","580.93540"
498,"SHOEBURYNESS, LANDWICK","essex",51.555,0.827,2,25,328.210871687164,"424.118260","116.641101","370.387806","221.150553","418.261543","431.846739","352.398313","356.387162","142.723060","343.491356","312.064287","322.136924","380.069328","304.772034","285.233989","240.999336","192.834929","219.696850","679.791590","500.081229","325.225647","504.874291","267.983745","256.811031","235.290690"
795,"SHOREHAM AIRPORT","west-sussex",50.836,-0.294,2,17,557.411583707815,NA,NA,NA,NA,"426.93472","989.64607","679.87405","661.78107","299.72907","423.18796","296.57929",NA,"656.17430","459.49785","493.20712",NA,"326.52309","796.74364",NA,"749.94004","729.03893","464.50022","508.12449",NA,"514.51500"
869,"SOUTH FARNBOROUGH","hampshire",51.28,-0.773,65,23,444.196690638851,"236.30143","263.72802","808.54291","302.92916","561.16890","488.93643",NA,"385.57870","254.54023","305.44090","229.85653","494.93241",NA,"215.03668","916.61305","363.20635","383.38972","424.18105","322.08987","608.30303","565.39342","886.58638","401.33038","350.34758","448.09075"
18903,"SOUTH UIST RANGE","western-isles",57.358,-7.385,4,22,562.260386798145,NA,NA,NA," 611.03795"," 352.24564","1579.72138"," 313.45347"," 353.16924"," 353.78081"," 396.27755"," 673.06492"," 418.04243"," 556.99163"," 376.17157"," 547.40603"," 312.81291"," 501.13042"," 521.82432"," 490.62040"," 784.87458"," 515.29842"," 520.76498","1110.31341"," 540.21670"," 540.50976"
1076,"SPADEADAM NO 2","cumbria",55.05,-2.554,285,24,896.893112155114," 592.04799"," 265.70422"," 515.01089"," 946.21419","1008.73719"," 752.38202"," 431.87139","1093.96323"," 439.50003","1710.17314"," 905.25098"," 687.16797","1192.96373","1309.99228"," 836.25833",NA,"1198.10577"," 770.60868"," 598.69789"," 849.41951","1323.73796"," 711.36232"," 953.35163","1095.54304","1337.37030"
19206,"ST ATHAN","south-glamorgan",51.405,-3.441,49,22,672.368079011055,NA,NA,NA,"951.88946","879.83676","814.96693","545.69106","703.44403","528.54156","647.83900","484.67195","657.66998","681.48570","799.70453","639.70184","428.00803","489.90468","835.00508","586.98188","624.92916","515.24381","829.42988","572.38803","665.14126","909.62313"
1055,"ST BEES HEAD NO 2","cumbria",54.518,-3.615,124,25,728.286289304424," 445.31577"," 639.72330"," 274.31937"," 527.80201"," 693.05843"," 882.76183"," 371.05342"," 711.10145"," 447.49568"," 916.35463"," 671.73689"," 891.69382"," 548.74556"," 958.53041"," 789.53154"," 946.81045"," 653.89919","1212.82953"," 781.16259"," 639.74371"," 831.88501"," 760.81925"," 699.35605"," 755.98660","1155.44075"
1119,"STONYHURST","lancashire",53.845,-2.47,115,18,918.381788481679,NA,NA,NA,NA,NA,NA,NA," 716.43620"," 594.44981"," 756.09031"," 593.59347"," 953.21573","1245.03793","1483.83113"," 721.65724"," 640.11114","1043.61867","1211.51995"," 700.53724"," 629.31586","1175.81708"," 982.60783","1259.21133"," 855.83431"," 967.98695"
54,"STORNOWAY AIRPORT","western-isles",58.213,-6.319,15,21,465.830983941637,NA,NA,NA,NA,"555.93492","463.64834","399.44614","400.51098","252.88936","422.45159","476.00065","404.94990","556.79128","479.35217","768.29911","312.93844","413.66148","401.41131","492.05967","485.27892","717.77552","485.83996","413.32073","371.79333","508.09689"
212,"STRATHALLAN AIRFIELD","perthshire-in-tayside-region",56.326,-3.729,35,22,502.945351770255,"567.08204","361.47178","346.93734","485.27252",NA,"579.65836","268.60226","531.67705","152.52437","474.40969",NA,"425.78922","603.99139","768.06533","547.73553",NA,"769.96337","644.35525","524.08883","567.02874","696.53086","397.19222","287.20897","376.95119","688.26143"
554,"SUTTON BONINGTON","nottinghamshire",52.836,-1.251,43,19,389.247005154385,NA,NA,NA,NA,NA,NA,"254.684386","581.144041","488.017870","597.746547","433.568125","388.124110","511.391525","349.860551","249.149440","231.694199","196.564789","373.275893","312.052682","390.823661","307.775230","637.977695","344.474148","252.673837","494.694369"
79,"TAIN RANGE","ross-and-cromarty",57.819,-3.967,4,22,347.88533235334," 147.505354","3093.714891"," 227.665428"," 202.798677"," 273.090035"," 208.565081"," 225.924076"," 186.090615"," 169.396878"," 338.599166"," 158.160224",NA,NA," 295.860591"," 257.978204"," 156.793287"," 260.753724"," 154.455494"," 107.093304"," 313.124987"," 355.082961"," 173.610684"," 205.890501"," 141.323150",NA
779,"THORNEY ISLAND","west-sussex",50.815,-0.922,4,20,514.616197828004,NA,"268.51484",NA,"355.51181","279.69423","852.26121","483.90433","586.26209","354.84162","550.00458","454.55741","418.60791",NA,"467.21105",NA,NA,"540.25434","772.64804","548.06298","611.31282","623.61187","487.31408","441.46366","810.97631","385.30881"
18974,"TIREE","argyll-in-strathclyde-region",56.5,-6.881,9,19,580.064002226587,NA,NA,NA,NA,NA,"578.77494","508.82113","438.56645","328.26486","579.40489","524.23270","649.06922","391.87928","592.50869","791.73026","454.72620","649.17541","582.36313","524.26984","837.75108","682.20192","605.56796","804.61873","497.28932",NA
16596,"TOPCLIFFE","north-yorkshire",54.205,-1.39,25,21,388.959379531915,NA,NA,NA,NA,"288.891416","604.249211","228.782938","630.891175","426.918435","490.354604","769.668964","253.679571","328.973596","388.960819","341.672300","345.529871","260.297269","761.856690","321.247968","185.521884","414.997719","222.150501","241.938139","306.408310","355.155592"
1209,"TRAWSGOED","dyfed",52.344,-3.948,63,21,738.487551809809,NA,NA," 524.57879"," 762.77059"," 824.57831","1091.29794",NA," 664.18945"," 597.52100"," 845.36613"," 700.75532"," 651.95043"," 735.93115"," 954.30113"," 684.28020"," 396.67529"," 476.76758"," 863.79116"," 791.39417",NA," 817.65643"," 641.26703"," 853.34519"," 684.64042"," 945.18089"
105,"TULLOCH BRIDGE","inverness-shire",56.867,-4.708,249,21,1074.30850725047," 906.34038",NA,NA,"1088.73094","1366.93674"," 791.31929"," 650.22532"," 982.90189"," 485.00129","1182.02159","1154.15158","1830.83817"," 915.71168","1152.01608"," 939.04552",NA,"1368.70615"," 954.30142"," 971.41042","1277.35572","1435.27324"," 997.93984",NA,"1161.84411"," 948.40730"
195,"TYNDRUM NO 3","perthshire-in-central-region",56.419,-4.661,168,18,2271.56280885462,NA,NA,NA,NA,NA,"5342.47959","1293.48984","1673.91853","1035.67305","2077.69753","2606.95131","2496.46092","1455.69391","2609.73744","2314.06246","1245.93159","3098.38710","1936.84252","1878.51632","2786.05034","3208.97318","1833.21179",NA,NA,"1994.05312"
1145,"VALLEY","gwynedd",53.253,-4.536,10,25,517.245855754816,"408.87190","314.08596","315.72674","451.43351","568.11028","729.80590","365.72770","412.87987","349.72746","420.24743","544.45187","632.31922","527.90408","688.67710","560.11601","304.26245","463.70850","768.87448","597.45980","877.70510","602.59702","536.81658","546.28022","486.20767","457.14954"
384,"WADDINGTON","lincolnshire",53.175,-0.523,68,25,402.337154088763,"134.103350","136.685255","578.488589","245.941361","513.696894","337.354184","394.968223","704.031874","442.533865","598.328778","303.181818","356.081658","661.761098","612.340170","269.484274","432.303226","168.778844","489.366069","192.371962","266.483214","560.776763","452.974458","250.773948","399.747946","555.871030"
16725,"WAINFLEET NO 2","lincolnshire",53.088,0.271,3,21,416.696649911959,NA,NA,"560.031613","326.499861",NA,"397.333602","208.968436","333.835701","338.896923","511.183812",NA,"702.132261","796.320440","345.593031","400.079594","243.101875","120.405864","289.438389","288.250550","612.168418","240.029642","369.205114","363.089245","497.430821","806.634458"
1078,"WALNEY ISLAND","cumbria",54.125,-3.258,15,23,669.04508402535," 623.95614"," 437.92895",NA," 590.39522"," 499.67500"," 838.33141"," 607.43103"," 720.29096"," 370.33128","1310.71560"," 512.37646"," 565.37988"," 449.21900"," 485.94376"," 636.66044",NA," 810.45031","1188.54090"," 629.03646"," 528.01157"," 792.25253"," 839.11783"," 630.81050"," 685.27961"," 635.90208"
1074,"WARCOP RANGE","cumbria",54.572,-2.413,227,23,539.186263242535,NA,"285.54429","420.88942","549.51383","569.72737","550.30060","255.70656","650.72947","245.89467","789.52009","900.89662","626.15992","528.15021","501.06385","454.57979",NA,"468.04876","691.12751","501.82531","465.45805","482.50745","797.57823","475.45789","612.45312","578.15104"
440,"WATTISHAM","suffolk",52.124,0.957,89,21,471.619312001794,NA,NA,NA,NA," 622.82860"," 449.82442"," 432.50071"," 773.22292"," 216.08701"," 434.00348"," 268.37191"," 623.53776"," 319.01253"," 464.52180"," 235.38724"," 400.56383"," 197.10909"," 355.64715"," 190.79499","1280.88357"," 420.14628","1123.34071"," 398.28401"," 332.60571"," 365.33182"
1039,"WEST FREUGH","wigtownshire",54.859,-4.935,11,22,661.853396265343," 636.15107"," 618.16954"," 571.96277"," 812.39183"," 536.44634",NA,NA,"1087.74977"," 409.46911"," 745.89232"," 454.43219"," 722.79705"," 654.43281",NA," 640.43554"," 494.51929"," 684.76375"," 685.57627"," 710.06958"," 875.20978"," 782.37098"," 440.81087"," 775.83392"," 502.05870"," 719.23124"
421,"WEYBOURNE","norfolk",52.949,1.122,21,25,373.744352509466,"183.76406","305.44781","331.39478","524.77406","365.98859","462.30308","765.37641","358.10324","280.84653","321.26544","387.36316","370.44289","590.09068","378.17575","387.99331","273.85473","150.74554","289.45452","213.58545","459.68678","378.69287","464.66592","435.18522","219.92696","444.48102"
32,"WICK AIRPORT","caithness",58.454,-3.09,36,22,287.665542047965,NA,"357.577284",NA,"336.452795","268.859008","285.680045","424.508154","334.110548","399.589185","234.810170","209.580219","398.923107","250.026250","154.316196","414.317719","191.050581","325.828048","242.789768","219.625159","278.410890","208.444663",NA,"372.504392","173.448333","247.789409"
876,"WIGHT: ST CATHERINES POINT","isle-of-wight",50.576,-1.297,20,21,525.714405704507,NA,NA,NA,NA," 522.99095"," 590.93040"," 211.95370","1895.28390"," 490.76343"," 356.53662"," 244.72394"," 340.86832"," 574.24776"," 586.58523"," 632.26963"," 408.90131"," 230.74371"," 471.46116"," 663.75812"," 647.30139"," 585.09731"," 480.43067"," 449.52340"," 356.25254"," 299.37901"
583,"WITTERING","cambridgeshire",52.612,-0.468,74,25,390.197870690892," 303.31721"," 141.24130"," 525.57726"," 372.64221"," 433.96982"," 425.42312"," 406.06682"," 758.27517"," 224.19787","1577.23228"," 248.89919"," 298.19529"," 349.71992"," 313.11725"," 162.06710"," 234.93400"," 173.75287"," 406.44640"," 256.99699"," 432.06166"," 208.60545"," 346.69210"," 251.00880"," 221.60453"," 682.90218"
458,"WOBURN","bedfordshire",52.014,-0.596,89,16,452.516539414207,NA,NA,NA,NA,NA,NA," 497.34757"," 427.34628"," 217.24860"," 435.76473",NA," 609.32489"," 471.39026"," 357.20242"," 259.01535",NA," 261.08225"," 369.20837"," 204.37885"," 486.81005"," 388.79502","1769.98749"," 251.06943",NA," 234.29309"
1302,"YEOVILTON","somerset",51.006,-2.643,20,25,411.681793469645,"400.42039","251.46641","425.32210","410.21634","766.40411","511.55018","387.62126","555.21718","293.48569","321.94243","382.74185","321.03492","435.02356","566.04917","304.46385","348.79989","387.67806","633.97546","243.57246","509.72588","303.73385","616.17235","281.37077","287.37484","346.68184"
